,Width,Length,Height,Orientation,Window_Ratio,Skylight_Ratio,Area,Court_Length,Court_Width,Form_Factor,Surface_Volume_Ratio,Cooling_Load,Heating_Load,Total_Load,Image,ThreeD,Shape
37,30,30,8,225,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.54502282,1.59028446,46.13530728,WIDTH40_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
38,30,30,8,270,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.67744057,1.52225134,46.19969191,WIDTH50_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
39,30,30,8,315,0.1,0.2,1800,8.0,8.0,1.53333333,0.38333333,44.55146115,1.58720478,46.13866593,WIDTH60_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH40_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
40,30,30,8,0,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.88160956,1.25023095,47.13184052,WIDTH30_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
41,30,30,8,45,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.74109652,1.32502901,47.06612553,WIDTH40_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
42,30,30,8,90,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.88160956,1.25023095,47.13184052,WIDTH50_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
43,30,30,8,135,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.74409978,1.32386847,47.06796826,WIDTH60_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH50_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
44,30,30,8,180,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.88160956,1.25023095,47.13184052,WIDTH30_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
45,30,30,8,225,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.74109652,1.32502901,47.06612553,WIDTH40_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
46,30,30,8,270,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.88160956,1.25023095,47.13184052,WIDTH50_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
47,30,30,8,315,0.2,0.2,1800,8.0,8.0,1.53333333,0.38333333,45.74409978,1.32386847,47.06796826,WIDTH60_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH60_HIGHT16_ORIENTATION0_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
48,30,30,8,0,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.75437215,1.03401291,47.78838506,WIDTH30_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
49,30,30,8,45,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.60986865,1.11261065,47.7224793,WIDTH40_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
50,30,30,8,90,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.75437215,1.03401291,47.78838506,WIDTH50_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
51,30,30,8,135,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.61173744,1.11171903,47.72345647,WIDTH60_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH30_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
52,30,30,8,180,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.75437215,1.03401291,47.78838506,WIDTH30_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
53,30,30,8,225,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.60986865,1.11261065,47.7224793,WIDTH40_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
54,30,30,8,270,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.75437215,1.03401291,47.78838506,WIDTH50_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
55,30,30,8,315,0.3,0.2,1800,8.0,8.0,1.53333333,0.38333333,46.61173744,1.11171903,47.72345647,WIDTH60_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH40_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
56,30,30,8,0,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.39158435,0.86709215,48.2586765,WIDTH30_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
57,30,30,8,45,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.25015318,0.94341556,48.19356874,WIDTH40_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
58,30,30,8,90,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.39158435,0.86709215,48.2586765,WIDTH50_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
