in_WIDTH,in_LENGTH,in_HIGHT,in_ORIENTATION,in_WINDOWS_RATIO,out_AREA,out_FORM_FACTOR,out_S_V_RATIO,out_COOLING,out_HEATING,out_TOTAL
50,60,12,225,0.1,3267,1.4747,0.3687,44.1225,1.5847,45.7072
60,60,12,225,0.1,3597,1.4673,0.3668,44.1136,1.5862,45.6999
30,30,16,225,0.1,2156,1.3905,0.3476,44.2672,1.5213,45.7885
40,30,16,225,0.1,2596,1.3629,0.3407,44.2616,1.5249,45.7866
50,30,16,225,0.1,3036,1.3432,0.3358,44.2637,1.5276,45.7913
60,30,16,225,0.1,3476,1.3285,0.3321,44.2552,1.5295,45.7847
30,40,16,225,0.1,2596,1.3629,0.3407,44.2554,1.5173,45.7727
40,40,16,225,0.1,3036,1.3432,0.3358,44.2443,1.5227,45.7671
50,40,16,225,0.1,3476,1.3285,0.3321,44.2466,1.5249,45.7714
60,40,16,225,0.1,3916,1.3172,0.3293,44.2390,1.5274,45.7664
30,50,16,225,0.1,3036,1.3432,0.3358,44.2529,1.5159,45.7689
40,50,16,225,0.1,3476,1.3285,0.3321,44.2414,1.5192,45.7606
50,50,16,225,0.1,3916,1.3172,0.3293,44.2417,1.5218,45.7635
60,50,16,225,0.1,4356,1.3081,0.3270,44.2342,1.5243,45.7584
30,60,16,225,0.1,3476,1.3285,0.3321,44.2418,1.5138,45.7556
40,60,16,225,0.1,3916,1.3172,0.3293,44.2306,1.5174,45.7480
50,60,16,225,0.1,4356,1.3081,0.3270,44.2310,1.5200,45.7509
60,60,16,225,0.1,4796,1.3007,0.3252,44.2226,1.5228,45.7454
30,30,8,270,0.1,1078,1.8905,0.4726,44.1000,1.6476,45.7476
40,30,8,270,0.1,1298,1.8629,0.4657,44.0769,1.6690,45.7459
50,30,8,270,0.1,1518,1.8432,0.4608,44.0587,1.6836,45.7423
60,30,8,270,0.1,1738,1.8285,0.4571,44.0192,1.7002,45.7194
30,40,8,270,0.1,1298,1.8629,0.4657,44.0807,1.6265,45.7072
40,40,8,270,0.1,1518,1.8432,0.4608,44.0631,1.6468,45.7099
50,40,8,270,0.1,1738,1.8285,0.4571,44.0503,1.6627,45.7130
60,40,8,270,0.1,1958,1.8172,0.4543,44.0158,1.6789,45.6947
30,50,8,270,0.1,1518,1.8432,0.4608,44.0644,1.6082,45.6726
40,50,8,270,0.1,1738,1.8285,0.4571,44.0519,1.6304,45.6823
50,50,8,270,0.1,1958,1.8172,0.4543,44.0433,1.6445,45.6878
60,50,8,270,0.1,2178,1.8081,0.4520,44.0150,1.6620,45.6770
30,60,8,270,0.1,1738,1.8285,0.4571,44.0429,1.5945,45.6375
40,60,8,270,0.1,1958,1.8172,0.4543,44.0333,1.6161,45.6494
50,60,8,270,0.1,2178,1.8081,0.4520,44.0281,1.6307,45.6588
60,60,8,270,0.1,2398,1.8007,0.4502,44.0055,1.6472,45.6526
30,30,12,270,0.1,1617,1.5572,0.3893,44.3452,1.5225,45.8677
40,30,12,270,0.1,1947,1.5295,0.3824,44.3315,1.5405,45.8720
50,30,12,270,0.1,2277,1.5099,0.3775,44.3201,1.5526,45.8727
60,30,12,270,0.1,2607,1.4952,0.3738,44.2864,1.5670,45.8534
30,40,12,270,0.1,1947,1.5295,0.3824,44.3369,1.4982,45.8351
40,40,12,270,0.1,2277,1.5099,0.3775,44.3259,1.5162,45.8420
50,40,12,270,0.1,2607,1.4952,0.3738,44.3172,1.5303,45.8475
60,40,12,270,0.1,2937,1.4838,0.3710,44.2881,1.5449,45.8329
30,50,12,270,0.1,2277,1.5099,0.3775,44.3334,1.4758,45.8092
40,50,12,270,0.1,2607,1.4952,0.3738,44.3224,1.4949,45.8173
50,50,12,270,0.1,2937,1.4838,0.3710,44.3174,1.5101,45.8275
60,50,12,270,0.1,3267,1.4747,0.3687,44.2923,1.5267,45.8190
30,60,12,270,0.1,2607,1.4952,0.3738,44.3211,1.4589,45.7800
40,60,12,270,0.1,2937,1.4838,0.3710,44.3127,1.4802,45.7929
50,60,12,270,0.1,3267,1.4747,0.3687,44.3099,1.4943,45.8042
60,60,12,270,0.1,3597,1.4673,0.3668,44.2877,1.5104,45.7981
30,30,16,270,0.1,2156,1.3905,0.3476,44.4331,1.4718,45.9049
40,30,16,270,0.1,2596,1.3629,0.3407,44.4238,1.4875,45.9113
50,30,16,270,0.1,3036,1.3432,0.3358,44.4166,1.4992,45.9157
60,30,16,270,0.1,3476,1.3285,0.3321,44.3878,1.5113,45.8991
30,40,16,270,0.1,2596,1.3629,0.3407,44.4318,1.4442,45.8760
40,40,16,270,0.1,3036,1.3432,0.3358,44.4219,1.4629,45.8848
50,40,16,270,0.1,3476,1.3285,0.3321,44.4151,1.4760,45.8911
60,40,16,270,0.1,3916,1.3172,0.3293,44.3894,1.4905,45.8800
30,50,16,270,0.1,3036,1.3432,0.3358,44.4366,1.4207,45.8574
40,50,16,270,0.1,3476,1.3285,0.3321,44.4253,1.4399,45.8652
50,50,16,270,0.1,3916,1.3172,0.3293,44.4194,1.4553,45.8747
60,50,16,270,0.1,4356,1.3081,0.3270,44.3960,1.4704,45.8664
30,60,16,270,0.1,3476,1.3285,0.3321,44.4301,1.4017,45.8318
40,60,16,270,0.1,3916,1.3172,0.3293,44.4201,1.4243,45.8444
50,60,16,270,0.1,4356,1.3081,0.3270,44.4161,1.4388,45.8549
60,60,16,270,0.1,4796,1.3007,0.3252,44.3947,1.4538,45.8485
30,30,8,315,0.1,1078,1.8905,0.4726,43.9861,1.7160,45.7021
40,30,8,315,0.1,1298,1.8629,0.4657,43.9595,1.7124,45.6719
50,30,8,315,0.1,1518,1.8432,0.4608,43.9432,1.7095,45.6527
60,30,8,315,0.1,1738,1.8285,0.4571,43.8883,1.7181,45.6064
