WIDTH,LENGTH,HIGHT,ORIENTATION,WINDOWS_RATIO,SKYLIGHT_RATIO,AREA,COURT_LENGTH,COURT_WIDTH,FORM_FACTOR,S/V_RATIO,COOLING_LOAD,HEATING_LOAD,TOTAL_LOAD
40,40,8,270,0.1,0.1,3200,18,18,1.4,0.35,43.86288382,1.4951996,45.35808342
40,40,8,0,0.1,0.1,3200,18,18,1.4,0.35,43.8632284,1.49635848,45.35958687
40,40,8,180,0.1,0.1,3200,18,18,1.4,0.35,43.8632284,1.49635848,45.35958687
60,40,12,315,0.1,0.1,7200,18,38,1,0.25,43.98121345,1.38306748,45.36428093
30,60,12,0,0.1,0.1,5400,38,8,1.0667,0.2667,43.96910685,1.39613148,45.36523833
30,60,12,180,0.1,0.1,5400,38,8,1.0667,0.2667,43.96910685,1.39613148,45.36523833
60,30,12,90,0.1,0.1,5400,8,38,1.0667,0.2667,43.97022628,1.39525585,45.36548213
60,30,12,270,0.1,0.1,5400,8,38,1.0667,0.2667,43.97022628,1.39525585,45.36548213
40,60,12,45,0.1,0.1,7200,38,18,1,0.25,43.98367857,1.38190153,45.3655801
60,40,12,135,0.1,0.1,7200,18,38,1,0.25,43.98483605,1.38135784,45.36619389
60,40,16,315,0.1,0.1,9600,18,38,0.8333,0.2083,44.04563349,1.32071021,45.3663437
40,60,12,225,0.1,0.1,7200,38,18,1,0.25,43.98607671,1.38104058,45.36711729
40,60,16,45,0.1,0.1,9600,38,18,0.8333,0.2083,44.04742724,1.31974361,45.36717085
60,40,16,135,0.1,0.1,9600,18,38,0.8333,0.2083,44.04808965,1.31937593,45.36746558
40,60,16,225,0.1,0.1,9600,38,18,0.8333,0.2083,44.04953029,1.31906886,45.36859915
40,60,12,315,0.1,0.1,7200,38,18,1,0.25,43.98182418,1.38859393,45.37041811
40,60,12,135,0.1,0.1,7200,38,18,1,0.25,43.98187654,1.38858631,45.37046286
30,50,12,90,0.1,0.1,4500,28,8,1.0933,0.2733,44.03388202,1.33721095,45.37109297
30,50,12,270,0.1,0.1,4500,28,8,1.0933,0.2733,44.03388202,1.33721095,45.37109297
50,30,12,0,0.1,0.1,4500,8,28,1.0933,0.2733,44.03433461,1.33713468,45.37146929
50,30,12,180,0.1,0.1,4500,8,28,1.0933,0.2733,44.03433461,1.33713468,45.37146929
60,40,12,225,0.1,0.1,7200,18,38,1,0.25,43.98380292,1.38768257,45.37148549
40,60,16,315,0.1,0.1,9600,38,18,0.8333,0.2083,44.04590799,1.32621649,45.37212449
40,60,16,135,0.1,0.1,9600,38,18,0.8333,0.2083,44.04592999,1.32621222,45.37214221
60,40,12,45,0.1,0.1,7200,18,38,1,0.25,43.98562391,1.38707235,45.37269626
60,40,16,225,0.1,0.1,9600,18,38,0.8333,0.2083,44.04733184,1.32548311,45.37281494
60,40,16,45,0.1,0.1,9600,18,38,0.8333,0.2083,44.0486788,1.32501074,45.37368954
40,60,8,90,0.1,0.1,4800,38,18,1.3333,0.3333,43.92664369,1.4521932,45.37883689
40,60,8,270,0.1,0.1,4800,38,18,1.3333,0.3333,43.92664369,1.4521932,45.37883689
30,40,12,45,0.1,0.1,3600,18,8,1.1333,0.2833,43.94434112,1.43658783,45.38092894
40,30,12,135,0.1,0.1,3600,8,18,1.1333,0.2833,43.943811,1.43733243,45.38114343
40,30,12,315,0.1,0.1,3600,8,18,1.1333,0.2833,43.94481894,1.43633251,45.38115145
60,40,8,0,0.1,0.1,4800,18,38,1.3333,0.3333,43.92740956,1.45400988,45.38141944
60,40,8,180,0.1,0.1,4800,18,38,1.3333,0.3333,43.92740956,1.45400988,45.38141944
30,40,12,225,0.1,0.1,3600,18,8,1.1333,0.2833,43.94453016,1.43703109,45.38156125
40,50,8,90,0.1,0.1,4000,28,18,1.36,0.34,43.91995152,1.46502885,45.38498037
40,50,8,270,0.1,0.1,4000,28,18,1.36,0.34,43.91995152,1.46502885,45.38498037
40,50,12,45,0.1,0.1,6000,28,18,1.0267,0.2567,43.99692024,1.38899483,45.38591508
40,30,12,45,0.1,0.1,3600,8,18,1.1333,0.2833,43.94429317,1.44218116,45.38647433
50,40,12,45,0.1,0.1,6000,18,28,1.0267,0.2567,43.99325578,1.39383296,45.38708874
50,40,12,315,0.1,0.1,6000,18,28,1.0267,0.2567,43.99865945,1.38852359,45.38718305
50,40,8,0,0.1,0.1,4000,18,28,1.36,0.34,43.92071748,1.46650953,45.38722701
50,40,8,180,0.1,0.1,4000,18,28,1.36,0.34,43.92071748,1.46650953,45.38722701
30,40,12,315,0.1,0.1,3600,18,8,1.1333,0.2833,43.94521784,1.44214497,45.38736281
50,40,12,135,0.1,0.1,6000,18,28,1.0267,0.2567,44.00037552,1.38765739,45.38803291
40,40,12,135,0.1,0.1,4800,18,18,1.0667,0.2667,43.97935719,1.4087666,45.38812379
40,50,12,225,0.1,0.1,6000,28,18,1.0267,0.2567,44.00017608,1.38814295,45.38831903
30,40,12,135,0.1,0.1,3600,18,8,1.1333,0.2833,43.94667746,1.44178408,45.38846154
40,30,12,225,0.1,0.1,3600,8,18,1.1333,0.2833,43.94729423,1.44222166,45.38951588
40,40,12,315,0.1,0.1,4800,18,18,1.0667,0.2667,43.98230217,1.40749452,45.38979669
40,40,12,45,0.1,0.1,4800,18,18,1.0667,0.2667,43.98275165,1.40750361,45.39025526
40,40,12,225,0.1,0.1,4800,18,18,1.0667,0.2667,43.98328613,1.40708423,45.39037037
40,50,12,135,0.1,0.1,6000,28,18,1.0267,0.2567,43.99872066,1.39280237,45.39152303
40,50,12,315,0.1,0.1,6000,28,18,1.0267,0.2567,43.99985928,1.39197976,45.39183904
60,60,16,315,0.1,0.1,14400,38,38,0.7667,0.1917,44.08626599,1.30583902,45.39210502
60,60,16,135,0.1,0.1,14400,38,38,0.7667,0.1917,44.08654379,1.30566769,45.39221147
50,30,16,135,0.1,0.1,6000,8,28,0.9267,0.2317,44.04655918,1.34577839,45.39233757
60,60,16,225,0.1,0.1,14400,38,38,0.7667,0.1917,44.08731044,1.3055152,45.39282564
60,50,16,45,0.1,0.1,12000,28,38,0.7933,0.1983,44.08133153,1.31179963,45.39313116
30,50,16,225,0.1,0.1,6000,28,8,0.9267,0.2317,44.04805584,1.34532685,45.39338269
50,40,12,225,0.1,0.1,6000,18,28,1.0267,0.2567,44.00235902,1.39108749,45.39344651
60,60,16,45,0.1,0.1,14400,38,38,0.7667,0.1917,44.08895736,1.30488693,45.39384429
50,30,16,315,0.1,0.1,6000,8,28,0.9267,0.2317,44.04921331,1.34467643,45.39388974
30,50,16,45,0.1,0.1,6000,28,8,0.9267,0.2317,44.04921285,1.34487706,45.39408991
40,60,16,90,0.1,0.1,9600,38,18,0.8333,0.2083,44.136224,1.25792423,45.39414823
40,60,16,270,0.1,0.1,9600,38,18,0.8333,0.2083,44.136224,1.25792423,45.39414823
40,60,12,90,0.1,0.1,7200,38,18,1,0.25,44.07343158,1.32077005,45.39420162
40,60,12,270,0.1,0.1,7200,38,18,1,0.25,44.07343158,1.32077005,45.39420162
50,60,16,225,0.1,0.1,12000,38,28,0.7933,0.1983,44.08656445,1.30769416,45.39425862
60,40,16,0,0.1,0.1,9600,18,38,0.8333,0.2083,44.13546444,1.25914626,45.39461069
60,40,16,180,0.1,0.1,9600,18,38,0.8333,0.2083,44.13546444,1.25914626,45.39461069
60,50,16,315,0.1,0.1,12000,28,38,0.7933,0.1983,44.08737125,1.30727931,45.39465057
60,50,16,135,0.1,0.1,12000,28,38,0.7933,0.1983,44.08663831,1.30814429,45.3947826
50,60,16,315,0.1,0.1,12000,38,28,0.7933,0.1983,44.08517599,1.30998152,45.39515751
50,60,16,45,0.1,0.1,12000,38,28,0.7933,0.1983,44.08835621,1.30709306,45.39544928
60,40,12,0,0.1,0.1,7200,18,38,1,0.25,44.0734815,1.32241374,45.39589523
60,40,12,180,0.1,0.1,7200,18,38,1,0.25,44.0734815,1.32241374,45.39589523
50,60,16,135,0.1,0.1,12000,38,28,0.7933,0.1983,44.0866004,1.30932404,45.39592444
60,50,16,225,0.1,0.1,12000,28,38,0.7933,0.1983,44.08631018,1.30991184,45.39622202
40,50,16,45,0.1,0.1,8000,28,18,0.86,0.215,44.07389911,1.32477291,45.39867201
50,40,16,315,0.1,0.1,8000,18,28,0.86,0.215,44.0750852,1.32414067,45.39922586
50,40,16,45,0.1,0.1,8000,18,28,0.86,0.215,44.07099647,1.32912048,45.40011695
50,40,16,135,0.1,0.1,8000,18,28,0.86,0.215,44.07639448,1.32377906,45.40017354
40,50,16,225,0.1,0.1,8000,28,18,0.86,0.215,44.07611952,1.32410825,45.40022777
50,30,16,225,0.1,0.1,6000,8,28,0.9267,0.2317,44.04654442,1.35478051,45.40132493
50,40,8,90,0.1,0.1,4000,18,28,1.36,0.34,43.917028,1.48527536,45.40230335
50,40,8,270,0.1,0.1,4000,18,28,1.36,0.34,43.917028,1.48527536,45.40230335
40,50,16,315,0.1,0.1,8000,28,18,0.86,0.215,44.07603693,1.32761876,45.40365569
40,50,16,135,0.1,0.1,8000,28,18,0.86,0.215,44.07532765,1.32834984,45.40367749
30,50,16,315,0.1,0.1,6000,28,8,0.9267,0.2317,44.04999448,1.35374867,45.40374315
40,50,8,180,0.1,0.1,4000,28,18,1.36,0.34,43.91780892,1.48594288,45.4037518
30,50,16,135,0.1,0.1,6000,28,8,0.9267,0.2317,44.04993026,1.35385486,45.40378511
50,40,16,225,0.1,0.1,8000,18,28,0.86,0.215,44.07787571,1.32693564,45.40481135
50,30,16,45,0.1,0.1,6000,8,28,0.9267,0.2317,44.05196901,1.35330994,45.40527895
50,50,16,315,0.1,0.1,10000,28,28,0.82,0.205,44.09320766,1.31285858,45.40606625
50,50,16,135,0.1,0.1,10000,28,28,0.82,0.205,44.09337901,1.31311456,45.40649357
60,40,8,90,0.1,0.1,4800,18,38,1.3333,0.3333,43.92423574,1.48411377,45.40834951
60,40,8,270,0.1,0.1,4800,18,38,1.3333,0.3333,43.92423574,1.48411377,45.40834951
50,50,16,45,0.1,0.1,10000,28,28,0.82,0.205,44.09810289,1.31145798,45.40956087
50,50,16,225,0.1,0.1,10000,28,28,0.82,0.205,44.09810289,1.31145798,45.40956087
40,60,8,0,0.1,0.1,4800,38,18,1.3333,0.3333,43.9252023,1.48453146,45.40973375
40,60,8,180,0.1,0.1,4800,38,18,1.3333,0.3333,43.9252023,1.48453146,45.40973375
30,60,16,0,0.1,0.1,7200,38,8,0.9,0.225,44.08948405,1.32623131,45.41571536
30,60,16,180,0.1,0.1,7200,38,8,0.9,0.225,44.08948405,1.32623131,45.41571536
50,50,8,315,0.1,0.1,5000,28,28,1.32,0.33,43.91545227,1.50040661,45.41585888
60,30,16,90,0.1,0.1,7200,8,38,0.9,0.225,44.09045423,1.32556615,45.41602037
60,30,16,270,0.1,0.1,7200,8,38,0.9,0.225,44.09045423,1.32556615,45.41602037
50,50,8,135,0.1,0.1,5000,28,28,1.32,0.33,43.91608656,1.500882,45.41696856
50,50,12,315,0.1,0.1,7500,28,28,0.9867,0.2467,44.04526727,1.37331261,45.41857989
50,50,12,135,0.1,0.1,7500,28,28,0.9867,0.2467,44.04547172,1.37364225,45.41911398
40,40,16,135,0.1,0.1,6400,18,18,0.9,0.225,44.07855963,1.34120914,45.41976877
50,30,12,90,0.1,0.1,4500,8,28,1.0933,0.2733,44.02997121,1.39035119,45.4203224
50,30,12,270,0.1,0.1,4500,8,28,1.0933,0.2733,44.02997121,1.39035119,45.4203224
30,50,12,0,0.1,0.1,4500,28,8,1.0933,0.2733,44.02992747,1.39083479,45.42076226
30,50,12,180,0.1,0.1,4500,28,8,1.0933,0.2733,44.02992747,1.39083479,45.42076226
40,40,16,315,0.1,0.1,6400,18,18,0.9,0.225,44.08047011,1.34043553,45.42090564
60,50,12,45,0.1,0.1,9000,28,38,0.96,0.24,44.05153323,1.36957519,45.42110841
40,40,16,45,0.1,0.1,6400,18,18,0.9,0.225,44.08084675,1.34040579,45.42125254
40,40,16,225,0.1,0.1,6400,18,18,0.9,0.225,44.08129839,1.34004727,45.42134566
50,50,8,45,0.1,0.1,5000,28,28,1.32,0.33,43.92408005,1.49791048,45.42199053
50,50,8,225,0.1,0.1,5000,28,28,1.32,0.33,43.92408005,1.49791048,45.42199053
50,60,12,225,0.1,0.1,9000,38,28,0.96,0.24,44.05769762,1.36494463,45.42264225
50,50,12,45,0.1,0.1,7500,28,28,0.9867,0.2467,44.05165699,1.37145124,45.42310823
50,50,12,225,0.1,0.1,7500,28,28,0.9867,0.2467,44.05165699,1.37145124,45.42310823
60,50,12,315,0.1,0.1,9000,28,38,0.96,0.24,44.05902027,1.36437731,45.42339758
50,60,12,315,0.1,0.1,9000,38,28,0.96,0.24,44.0564689,1.36728346,45.42375236
60,50,12,135,0.1,0.1,9000,28,38,0.96,0.24,44.05847558,1.3655173,45.42399288
40,50,12,90,0.1,0.1,6000,28,18,1.0267,0.2567,44.09473486,1.32933774,45.4240726
40,50,12,270,0.1,0.1,6000,28,18,1.0267,0.2567,44.09473486,1.32933774,45.4240726
50,60,12,45,0.1,0.1,9000,38,28,0.96,0.24,44.06035829,1.36413328,45.42449157
50,60,12,135,0.1,0.1,9000,38,28,0.96,0.24,44.05838715,1.36636106,45.42474821
60,50,12,225,0.1,0.1,9000,28,38,0.96,0.24,44.05787888,1.36719662,45.4250755
50,60,16,90,0.1,0.1,12000,38,28,0.7933,0.1983,44.16529215,1.26005726,45.42534941
50,60,16,270,0.1,0.1,12000,38,28,0.7933,0.1983,44.16529215,1.26005726,45.42534941
50,40,12,0,0.1,0.1,6000,18,28,1.0267,0.2567,44.09491705,1.33058654,45.42550359
50,40,12,180,0.1,0.1,6000,18,28,1.0267,0.2567,44.09491705,1.33058654,45.42550359
60,40,16,90,0.1,0.1,9600,18,38,0.8333,0.2083,44.13379337,1.29281075,45.42660413
60,40,16,270,0.1,0.1,9600,18,38,0.8333,0.2083,44.13379337,1.29281075,45.42660413
60,40,12,90,0.1,0.1,7200,18,38,1,0.25,44.07196133,1.35465417,45.4266155
60,40,12,270,0.1,0.1,7200,18,38,1,0.25,44.07196133,1.35465417,45.4266155
30,50,16,90,0.1,0.1,6000,28,8,0.9267,0.2317,44.16230141,1.26455921,45.42686062
30,50,16,270,0.1,0.1,6000,28,8,0.9267,0.2317,44.16230141,1.26455921,45.42686062
30,40,12,90,0.1,0.1,3600,18,8,1.1333,0.2833,44.06442283,1.36247209,45.42689493
30,40,12,270,0.1,0.1,3600,18,8,1.1333,0.2833,44.06442283,1.36247209,45.42689493
60,50,16,0,0.1,0.1,12000,28,38,0.7933,0.1983,44.1660878,1.26085419,45.42694199
60,50,16,180,0.1,0.1,12000,28,38,0.7933,0.1983,44.1660878,1.26085419,45.42694199
50,30,16,0,0.1,0.1,6000,8,28,0.9267,0.2317,44.1626755,1.26450413,45.42717963
50,30,16,180,0.1,0.1,6000,8,28,0.9267,0.2317,44.1626755,1.26450413,45.42717963
40,30,12,0,0.1,0.1,3600,8,18,1.1333,0.2833,44.06473021,1.36246228,45.42719249
40,30,12,180,0.1,0.1,3600,8,18,1.1333,0.2833,44.06473021,1.36246228,45.42719249
40,60,16,0,0.1,0.1,9600,38,18,0.8333,0.2083,44.13460045,1.29305145,45.4276519
40,60,16,180,0.1,0.1,9600,38,18,0.8333,0.2083,44.13460045,1.29305145,45.4276519
60,60,16,90,0.1,0.1,14400,38,38,0.7667,0.1917,44.16202837,1.26590508,45.42793345
60,60,16,270,0.1,0.1,14400,38,38,0.7667,0.1917,44.16202837,1.26590508,45.42793345
40,60,12,0,0.1,0.1,7200,38,18,1,0.25,44.07297005,1.35496847,45.42793852
40,60,12,180,0.1,0.1,7200,38,18,1,0.25,44.07297005,1.35496847,45.42793852
60,60,16,0,0.1,0.1,14400,38,38,0.7667,0.1917,44.1620389,1.2665119,45.4285508
60,60,16,180,0.1,0.1,14400,38,38,0.7667,0.1917,44.1620389,1.2665119,45.4285508
40,50,16,90,0.1,0.1,8000,28,18,0.86,0.215,44.17293991,1.26457403,45.43751394
40,50,16,270,0.1,0.1,8000,28,18,0.86,0.215,44.17293991,1.26457403,45.43751394
50,40,16,0,0.1,0.1,8000,18,28,0.86,0.215,44.17300661,1.26558235,45.43858896
50,40,16,180,0.1,0.1,8000,18,28,0.86,0.215,44.17300661,1.26558235,45.43858896
60,50,16,90,0.1,0.1,12000,28,38,0.7933,0.1983,44.16613158,1.27301884,45.43915043
60,50,16,270,0.1,0.1,12000,28,38,0.7933,0.1983,44.16613158,1.27301884,45.43915043
40,40,12,90,0.1,0.1,4800,18,18,1.0667,0.2667,44.0858451,1.35341191,45.43925701
40,40,12,270,0.1,0.1,4800,18,18,1.0667,0.2667,44.0858451,1.35341191,45.43925701
50,60,16,0,0.1,0.1,12000,38,28,0.7933,0.1983,44.16646776,1.27345543,45.43992319
50,60,16,180,0.1,0.1,12000,38,28,0.7933,0.1983,44.16646776,1.27345543,45.43992319
